,0
0,1.0
1,0.18292018520139564
2,0.05412546360600943
3,0.02044917427490152
4,0.008742775336533217
5,0.004194394700232449
6,0.0022103278750490066
7,0.001231515098435553
8,0.0007167739799304203
9,0.00043202976593491993
10,0.0002729374590150849
11,0.00017455349299857781
12,0.00011402408845817125
13,7.669047490350123e-05
14,5.260271791497441e-05
15,3.597866807465331e-05
16,2.5056175413525243e-05
17,1.7255514371500505e-05
18,1.2685473789864119e-05
19,9.27101572112641e-06
20,6.81765366742471e-06
21,4.985672190333757e-06
22,3.6341092971515844e-06
23,2.6613917514087517e-06
24,1.9966538023740635e-06
25,1.4573015116470356e-06
26,1.0531069034076946e-06
27,8.414055186401178e-07
28,6.488173659564529e-07
